Game ID,Outcome,Team,GP,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,Shots.Blocked,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Att.per.90,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Att.per.90,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Att.per.90,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Att.per.90,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Att.per.90,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Att.per.90,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Att.per.90,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Att.per.90,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Att.per.90,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Att.per.90,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Att.per.90,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Att.per.90,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Att.per.90,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Att.per.90,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Att.per.90,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Att.per.90,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Att.per.90,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Att.per.90,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Att.per.90,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,Take.Ons.per.90,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Poss.Disrupted.per.90,Aerial.Duels,Aerial.Duels.per.90,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,All.Opp.Poss.Disrupted,Opp.Poss.Disrupted.per.90,Dribbled,Dribbled.per.90,Press.Opp,Challenge.Opp,Recoveries,Recoveries.per.90,Def.Recoveries,Poss.Recoveries,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Blocks.per.90,Clearances,Clearances.per.90,Ball.Shields,Offsides,Fouls.Won,Fouls.Conceded,Yellow.Cards,Red.Cards,Penalties.Won,Penalties.Conceded,E.to.Goals,OG,E.to.Big.Chances,BC.Stopped,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,no,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
US.CRC.021016,2,USA,14,1056,11,5,19,NA,0.631578947,6,1,7,ND,9,0.473684211,6,9,0,3,0,0,3,5,2,1,NA,NA,5,NA,3,0.6,1,1,0,0,0,432,496,NA,0.870967742,402,459,NA,0.875816993,136,151,NA,0.900662252,,,,,205,247,NA,0.829959514,110,125,NA,0.88,117,124,NA,0.943548387,,,,120,151,NA,0.794701987,269,301,NA,0.893687708,43,44,NA,0.977272727,,,,107,132,NA,0.810606061,253,284,NA,0.89084507,42,43,NA,0.976744186,27,16,0,5,214,49,0,13,106,,,,194,235,NA,0.825531915,103,113,NA,0.911504425,103,109,NA,0.944954128,,136,151,NA,0.900662252,6.473071946,2.915562789,3.611365265,55,65,NA,0.846153846,33,35,NA,0.942857143,48,51,NA,0.941176471,16,24,NA,NA,0.666666667,24,0,9,16,NA,NA,0.5625,6,11,NA,NA,NA,0.545454545,21,22,NA,NA,0.954545455,3,9,0.333333333,0,0,5,5,1,0,0,0,0,5,39,NA,25,14,0.641025641,17,16,47,NA,45,NA,23,22,0.511111111,10,13,23,NA,11,NA,147,47,63,NA,39,24,29,NA,NA,26,NA,3,NA,0,2,6,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,12,12,1,1,1,1,0,0,NA,2,2,1
US.CRC.021016,0,CRC,14,1014,10,0,0,NA,NA,0,0,0,ND,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,278,355,NA,0.783098592,246,310,NA,0.793548387,125,148,NA,0.844594595,,,,,118,188,NA,0.627659574,72,78,NA,0.923076923,88,89,NA,0.988764045,,,,19,28,NA,0.678571429,165,199,NA,0.829145729,94,128,NA,0.734375,,,,13,20,NA,0.65,152,181,NA,0.839779006,81,109,NA,0.743119266,55,39,0,22,134,8,0,3,16,,,,90,144,NA,0.625,67,73,NA,0.917808219,83,84,NA,0.988095238,,125,148,NA,0.844594595,4.665562317,2.765824721,4.568612962,37,57,NA,0.649122807,32,35,NA,0.914285714,56,56,NA,1,0,3,NA,NA,0,3,0,14,38,NA,NA,0.368421053,2,3,NA,NA,NA,0.666666667,18,23,NA,NA,0.782608696,1,1,1,0,0,9,15,0.6,0,0,0,0,15,18,NA,12,6,0.666666667,17,8,31,NA,45,NA,21,24,0.466666667,15,15,30,NA,23,NA,165,26,46,NA,27,19,21,NA,NA,25,NA,19,NA,0,0,13,7,2,0,0,1,0,0,0,1,7,5,12,0.416666667,4,1,3,0.75,5,4,1,0.8,2,1,0,0,0,3,2,1,2,2,0,0,0,0,0,0,21,33,0.636363636,2,2,1,2,4,0.5,9,14,0.642857143
US.CAN.022116,2,USA,14,1035,11,2,7,NA,0.428571429,0,1,4,ND,2,0.285714286,1,6,0,0,0,0,2,5,0,0,NA,NA,1,NA,0,0,1,0,0,0,0,373,471,NA,0.791932059,368,456,NA,0.807017544,156,195,NA,0.8,,,,,160,238,NA,0.672268908,109,125,NA,0.872,104,108,NA,0.962962963,,,,74,106,NA,0.698113208,212,264,NA,0.803030303,87,102,NA,0.852941176,,,,72,101,NA,0.712871287,212,261,NA,0.812260536,84,95,NA,0.884210526,49,35,1,12,173,24,0,9,64,,,,154,223,NA,0.69058296,109,122,NA,0.893442623,102,106,NA,0.962264151,,156,195,NA,0.8,5.939352022,3.072752978,2.987895,54,85,NA,0.635294118,45,50,NA,0.9,57,60,NA,0.95,10,18,NA,NA,0.555555556,16,2,14,40,NA,NA,0.35,24,36,NA,NA,NA,0.666666667,0,0,NA,NA,NA,1,4,0.25,0,0,4,8,0.5,0,0,0,0,8,34,NA,28,6,0.823529412,15,10,31,NA,80,NA,46,34,0.575,8,0,8,NA,16,NA,124,44,73,NA,41,32,20,NA,NA,32,NA,27,NA,2,0,23,13,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,1,3,0,0,0,0,2,2,0,1,1,0,0,0,0,1,0,21,30,0.7,0,0,NA,0,2,0,6,9,0.666666667
US.CAN.022116,0,CAN,14,1034,11,0,2,NA,0.5,1,0,1,ND,1,0.5,0,1,0,1,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,226,324,NA,0.697530864,218,304,NA,0.717105263,115,140,NA,0.821428571,,,,,104,191,NA,0.544502618,55,63,NA,0.873015873,67,70,NA,0.957142857,,,,42,64,NA,0.65625,153,205,NA,0.746341463,32,57,NA,0.561403509,,,,41,60,NA,0.683333333,150,198,NA,0.757575758,28,48,NA,0.583333333,16,16,0,11,118,23,1,10,28,,,,98,169,NA,0.579881657,54,60,NA,0.9,65,68,NA,0.955882353,,116,141,NA,0.822695035,7.26008436,2.90531413,3.83460151,49,71,NA,0.690140845,31,31,NA,1,36,39,NA,0.923076923,5,14,NA,NA,0.357142857,11,3,15,53,NA,NA,0.283018868,18,33,NA,NA,NA,0.545454545,0,0,NA,NA,NA,1,3,0.333333333,0,0,3,11,0.272727273,0,0,0,0,11,26,NA,16,10,0.615384615,7,6,23,NA,82,NA,29,53,0.353658537,8,0,8,NA,26,NA,191,39,61,NA,38,22,20,NA,NA,29,NA,20,NA,2,3,11,26,2,0,0,0,2,0,0,2,0,2,3,0.666666667,1,0,0,0,9,6,3,0.666666667,4,2,0,0,0,6,4,2,0,0,0,1,1,0,0,1,16,35,0.457142857,3,3,1,1,3,0.333333333,1,12,0.083333333
US.TRI.021916,2,USA,14,1012,11,5,19,NA,0.736842105,8,1,5,ND,5,0.263157895,3,11,1,4,0,0,4,5,3,1,NA,NA,7,NA,3,0.428571429,2,1,1,1,0,503,588,NA,0.855442177,478,560,NA,0.853571429,170,209,NA,0.813397129,,,,,220,277,NA,0.794223827,150,172,NA,0.872093023,133,139,NA,0.956834532,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,216,272,NA,0.794117647,136,156,NA,0.871794872,123,129,NA,0.953488372,,171,210,NA,0.814285714,5.613054388,3.600431839,3.786513772,69,96,NA,0.71875,43,52,NA,0.826923077,59,62,NA,0.951612903,8,23,NA,NA,0.347826087,20,3,9,17,NA,NA,0.529411765,9,19,NA,NA,NA,0.473684211,14,16,NA,NA,0.875,8,9,0.888888889,1,0,3,3,1,0,0,1,0,4,36,NA,30,6,0.833333333,19,9,34,NA,46,NA,26,20,0.565217391,8,0,8,NA,7,NA,49,26,84,NA,50,29,13,NA,NA,13,NA,11,NA,1,7,10,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0,0,NA,0,0,NA,3,3,1
US.TRI.021916,0,TRI,13,1012,11,0,0,NA,NA,0,0,0,ND,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,79,143,NA,0.552447552,59,106,NA,0.556603774,33,49,NA,0.673469388,,,,,48,106,NA,0.452830189,9,14,NA,0.642857143,22,23,NA,0.956521739,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,25,60,NA,0.416666667,9,14,NA,0.642857143,21,22,NA,0.954545455,,33,49,NA,0.673469388,6.338461538,1.626923077,2.034615385,13,26,NA,0.5,7,9,NA,0.777777778,13,14,NA,0.928571429,0,1,NA,NA,0,1,0,11,38,NA,NA,0.289473684,0,2,NA,NA,NA,0,14,21,NA,NA,0.666666667,0,0,NA,0,0,4,11,0.363636364,0,0,0,0,11,21,NA,11,10,0.523809524,10,6,26,NA,46,NA,21,25,0.456521739,9,0,9,NA,27,NA,194,54,45,NA,27,16,13,NA,NA,39,NA,20,NA,1,0,13,10,2,0,0,0,0,0,0,1,8,4,12,0.333333333,4,1,3,0.75,4,3,1,0.75,2,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1,7,14,0.5,1,1,1,1,3,0.333333333,5,10,0.5
US.PUR.021516,2,USA,14,1034,11,9,29,NA,0.517241379,6,0,14,ND,9,0.310344828,4,15,1,8,0,0,6,3,3,0,NA,NA,7,NA,3,0.428571429,0,4,0,2,0,462,545,NA,0.847706422,451,528,NA,0.854166667,167,190,NA,0.878947368,,,,,207,269,NA,0.769516729,132,153,NA,0.862745098,123,123,NA,1,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,206,266,NA,0.77443609,124,141,NA,0.879432624,120,120,NA,1,,167,191,NA,0.87434555,5.578613638,4.895927391,3.525458971,60,77,NA,0.779220779,52,59,NA,0.881355932,55,55,NA,1,14,25,NA,NA,0.56,24,1,6,13,NA,NA,0.461538462,38,56,NA,NA,NA,0.678571429,0,0,NA,NA,NA,6,10,0.6,0,0,3,5,0.6,0,0,1,0,6,61,NA,44,17,0.721311475,8,8,33,NA,49,NA,31,18,0.632653061,3,0,3,NA,8,NA,61,25,82,NA,49,33,12,NA,NA,18,NA,9,NA,0,3,7,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,8,1,2,2,1,0,0,NA,1,1,1
US.PUR.021516,0,PUR,15,1129,12,0,1,NA,0,0,0,1,ND,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,100,186,NA,0.537634409,97,168,NA,0.577380952,50,68,NA,0.735294118,,,,,53,135,NA,0.392592593,25,28,NA,0.892857143,22,23,NA,0.956521739,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,,,,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,44,91,NA,0.483516484,25,28,NA,0.892857143,22,23,NA,0.956521739,,50,68,NA,0.735294118,7.985569986,2.232683983,1.781746032,24,40,NA,0.6,13,14,NA,0.928571429,13,14,NA,0.928571429,0,0,NA,NA,NA,0,0,8,56,NA,NA,0.142857143,8,16,NA,NA,NA,0.5,0,0,NA,NA,NA,0,0,NA,0,0,1,10,0.1,0,0,0,0,10,12,NA,8,4,0.666666667,9,10,23,NA,51,NA,15,36,0.294117647,13,0,13,NA,41,NA,181,39,40,NA,23,17,15,NA,NA,45,NA,21,NA,1,1,10,10,0,0,0,2,0,2,0,0,7,9,16,0.5625,3,0,3,1,3,2,1,0.666666667,0,0,0,2,0,3,2,1,1,1,0,0,0,0,2,0,8,39,0.205128205,1,1,1,1,7,0.142857143,6,29,0.206896552
US.MEX.021316,2,USA,14,1034,11,1,14,NA,0.357142857,4,0,9,ND,5,0.357142857,1,9,0,4,0,0,0,0,0,0,NA,NA,1,NA,1,1,0,0,0,0,0,425,498,NA,0.853413655,397,460,NA,0.863043478,127,148,NA,0.858108108,,,,,196,245,NA,0.8,114,134,NA,0.850746269,115,119,NA,0.966386555,,,,90,124,NA,0.725806452,275,312,NA,0.881410256,59,61,NA,0.967213115,,,,77,104,NA,0.740384615,263,297,NA,0.885521886,56,58,NA,0.965517241,32,27,0,15,215,44,0,16,74,,,,184,228,NA,0.807017544,100,115,NA,0.869565217,109,113,NA,0.96460177,,128,149,NA,0.859060403,5.760955711,3.444386169,3.79465812,53,62,NA,0.85483871,28,37,NA,0.756756757,47,50,NA,0.94,6,11,NA,NA,0.545454545,11,0,13,30,NA,NA,0.433333333,6,10,NA,NA,NA,0.6,18,25,NA,NA,0.72,5,7,0.714285714,0,0,5,6,0.833333333,0,0,2,0,8,42,NA,29,13,0.69047619,16,16,45,NA,51,NA,29,22,0.568627451,11,10,21,NA,8,NA,64,23,92,NA,41,51,19,NA,NA,25,NA,16,NA,1,2,7,12,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,11,1,0,0,NA,0,0,NA,4,4,1
US.MEX.021316,0,MEX,14,1034,11,0,2,NA,0.5,1,0,1,ND,1,0.5,0,0,0,1,1,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,115,199,NA,0.577889447,99,155,NA,0.638709677,51,66,NA,0.772727273,,,,,61,133,NA,0.458646617,22,32,NA,0.6875,32,34,NA,0.941176471,,,,6,19,NA,0.315789474,56,98,NA,0.571428571,53,82,NA,0.646341463,,,,3,7,NA,0.428571429,51,80,NA,0.6375,45,68,NA,0.661764706,27,25,0,5,45,6,0,1,5,,,,40,78,NA,0.512820513,21,28,NA,0.75,29,31,NA,0.935483871,,52,67,NA,0.776119403,6.8,2.044444444,3.155555556,24,34,NA,0.705882353,9,12,NA,0.75,19,21,NA,0.904761905,0,2,NA,NA,0,1,1,14,46,NA,NA,0.304347826,0,0,NA,NA,NA,NA,12,26,NA,NA,0.461538462,0,3,0,0,0,2,11,0.181818182,0,0,0,0,11,22,NA,9,13,0.409090909,8,4,25,NA,51,NA,20,31,0.392156863,21,12,33,NA,28,NA,150,39,54,NA,30,24,12,NA,NA,43,NA,35,NA,3,1,10,7,2,0,0,1,0,0,0,0,4,1,5,0.2,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0.464285714,1,1,1,1,3,0.333333333,10,20,0.5
